"Fleet_segment";"Species";"Year";"Revenues";"Landing";"price";"price_Mod1";"price_Mod2";"price_Mod3";"price_Mod4";"price_Mod5"
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2019;2215447.78;485343.5065;4.56470056842102;5.42528293019711;5.4803738468786;NA;6.08393451693633;9.10699872568696
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2020;1243689.54;233141;5.33449517673854;5.18159512285571;5.21685919596654;NA;6.08393451693633;15.6549977149116
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2013;443574.52;77609.4303;5.71547192506579;NA;NA;6.59228832886805;5.91958686551129;5.71547192506579
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2014;204116.14;42582.8203;4.79339176132493;5.29529064981396;5.11108926638737;5.86277417810325;5.91958686551129;8.76710409217141
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2015;432773.66;55154.1002;7.8466271488552;4.89104025121559;5.02992214368175;6.11481558507156;5.91958686551129;7.29090677333795
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2016;183636.54;26670.9501;6.88526427860551;7.09767605010024;6.85377109750094;5.55859889899164;5.91958686551129;12.2373519935306
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2017;555385.83;74465.63;7.45828417754607;7.28023528607123;8.33586036166707;6.52326045656626;5.91958686551129;5.88643573191106
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2018;269370.49;52065.31;5.17370375783799;7.17149312034643;6.97753570138786;6.05190191178696;5.91958686551129;7.59664143595359
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2019;258980.8764;55084.73257;4.70150011295589;5.19905009008822;5.22829702863323;6.11339552452582;5.91958686551129;7.29744975990565
"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2020;105914.43;20834;5.08372996064126;4.01069654836821;3.92294213593253;5.45101891395325;5.91958686551129;14.5929454212918
"ITA_18_HOK_1218";"HKE1718";2013;965633.39;151494.34;6.37405588882067;NA;NA;NA;6.88225630385502;6.37405588882067
"ITA_18_HOK_1218";"HKE1718";2014;1894865.39;279130.39;6.78845965141954;6.40133382742006;6.15358508528767;NA;6.88225630385502;2.9162966861169
"ITA_18_HOK_1218";"HKE1718";2015;2697275.6;426880.57;6.31857196030262;6.81044950406473;6.62436239846416;NA;6.88225630385502;1.69344479759642
"ITA_18_HOK_1218";"HKE1718";2016;3339510.27;491809.01;6.79025841759182;6.32637900868512;6.26725126321083;NA;6.88225630385502;1.41285150926474
"ITA_18_HOK_1218";"HKE1718";2017;3346857.45;512267.31;6.53341992484354;6.79279640024912;6.77433662197546;NA;6.88225630385502;1.34106476774141
"ITA_18_HOK_1218";"HKE1718";2018;3127881.107;320596.4;9.75644488522017;6.49686317445462;6.71219185589719;NA;6.88225630385502;2.44269836044052
"ITA_18_HOK_1218";"HKE1718";2019;1299394.844;202797.848;6.40734039741881;9.70340560121804;10.0172373645414;NA;6.88225630385502;4.38883997884225
"ITA_18_HOK_1218";"HKE1718";2020;1468412.33;214068.4;6.85954736897179;6.41049758123782;6.38741035296345;NA;6.88225630385502;4.09539759752822
"ITA_18_PGP_0012";"HKE1718";2013;241968;NA;NA;NA;NA;NA;NA;NA
"ITA_18_PGP_0012";"HKE1718";2014;5540.9;28.06;197.466143977192;NA;NA;94.8649931892328;NA;NA
"ITA_18_PGP_0012";"HKE1718";2015;5278.25;NA;NA;NA;NA;NA;NA;NA
